Signal_Strength,Channel,Encryption_Num,Label
-54,6,3,SAFE
-55,6,3,SAFE
-76,11,3,UNSAFE
-77,11,0,VULNERABLE
-81,1,4,SAFE
-82,1,0,VULNERABLE
-82,11,3,SAFE
-83,11,0,VULNERABLE
-84,6,3,SAFE
-84,6,0,VULNERABLE
-85,11,3,SAFE
-86,1,0,VULNERABLE
-87,1,3,SAFE
-87,1,3,SAFE
-87,6,0,SAFE
-87,11,0,VULNERABLE
-88,1,3,SAFE
-88,1,0,VULNERABLE
-88,6,3,SAFE
-88,11,0,VULNERABLE
-89,1,3,SAFE
-89,6,0,VULNERABLE
-90,1,3,SAFE
-90,6,0,VULNERABLE
-90,8,0,SAFE
-92,1,3,SAFE
-92,1,0,VULNERABLE
-92,1,3,SAFE
-92,1,0,SAFE
-92,2,0,VULNERABLE
-93,11,0,SAFE
-94,1,0,VULNERABLE
-94,11,3,SAFE
-95,11,0,VULNERABLE
-55,6,3,SAFE
-75,11,3,UNSAFE
-75,11,0,VULNERABLE
-81,6,0,VULNERABLE
-84,1,4,SAFE
-84,1,0,VULNERABLE
-84,11,3,SAFE
-85,1,3,SAFE
-85,1,0,VULNERABLE
-85,11,0,VULNERABLE
-89,3,0,SAFE
-89,6,3,SAFE
-90,1,3,SAFE
-90,1,3,SAFE
-90,6,0,SAFE
-90,6,0,SAFE
-90,11,0,VULNERABLE
-91,1,0,VULNERABLE
-91,1,0,VULNERABLE
-91,6,0,VULNERABLE
-91,11,3,SAFE
-93,1,0,SAFE
-93,1,3,SAFE
-95,11,0,SAFE
-49,6,3,SAFE
-49,6,3,SAFE
-72,11,0,VULNERABLE
-73,11,3,UNSAFE
-83,1,4,SAFE
-83,11,3,SAFE
-84,1,3,SAFE
-84,1,0,VULNERABLE
-85,6,0,VULNERABLE
-85,6,3,SAFE
-86,1,3,SAFE
-86,1,3,SAFE
-88,6,0,VULNERABLE
-88,11,3,SAFE
-89,1,3,SAFE
-89,1,3,SAFE
-89,1,3,SAFE
-89,6,0,SAFE
-89,11,0,VULNERABLE
-90,1,3,SAFE
-90,1,0,VULNERABLE
-90,11,0,VULNERABLE
-91,11,0,VULNERABLE
-93,1,0,SAFE
-94,11,0,SAFE
-95,1,0,SAFE
-50,6,3,SAFE
-50,6,3,SAFE
-71,11,3,SAFE
-72,11,3,UNSAFE
-72,11,0,VULNERABLE
-74,1,3,SAFE
-74,1,0,VULNERABLE
-77,1,0,VULNERABLE
-77,1,3,SAFE
-85,6,3,SAFE
-86,1,4,SAFE
-86,1,0,VULNERABLE
-86,6,0,VULNERABLE
-88,1,3,SAFE
-88,1,0,VULNERABLE
-88,6,3,SAFE
-89,1,3,SAFE
-90,6,0,VULNERABLE
-90,6,0,VULNERABLE
-90,6,3,SAFE
-92,6,0,VULNERABLE
-92,6,3,SAFE
-92,11,0,VULNERABLE
-93,8,0,SAFE
-94,11,3,SAFE
-94,11,0,VULNERABLE
-96,11,3,SAFE
-97,11,0,VULNERABLE
-31,6,3,SAFE
-31,6,3,SAFE
-66,1,3,SAFE
-66,11,3,SAFE
-66,11,0,VULNERABLE
-68,1,0,VULNERABLE
-70,1,3,SAFE
-70,1,0,VULNERABLE
-71,1,0,VULNERABLE
-71,1,4,SAFE
-77,6,0,VULNERABLE
-79,6,3,SAFE
-81,6,3,SAFE
-82,6,0,VULNERABLE
-83,6,0,VULNERABLE
-84,6,3,SAFE
-88,11,3,SAFE
-88,11,0,VULNERABLE
-89,6,0,VULNERABLE
-90,1,3,SAFE
-90,1,0,VULNERABLE
-90,6,3,SAFE
-90,6,0,VULNERABLE
-91,1,3,SAFE
-91,1,0,VULNERABLE
-91,6,3,SAFE
-91,11,3,SAFE
-91,11,0,VULNERABLE
-93,6,3,SAFE
-94,1,3,SAFE
-94,1,0,VULNERABLE
-33,6,3,SAFE
-34,6,3,SAFE
-62,1,3,SAFE
-66,1,0,VULNERABLE
-68,11,0,VULNERABLE
-69,1,3,SAFE
-69,11,3,SAFE
-71,11,3,UNSAFE
-73,1,0,VULNERABLE
-74,1,4,SAFE
-76,6,3,SAFE
-84,6,3,SAFE
-84,6,0,VULNERABLE
-85,6,3,SAFE
-86,6,0,VULNERABLE
-89,1,0,VULNERABLE
-90,1,3,SAFE
-90,6,0,VULNERABLE
-90,6,3,SAFE
-90,6,3,SAFE
-90,11,0,VULNERABLE
-91,1,3,SAFE
-91,6,0,VULNERABLE
-92,1,0,VULNERABLE
-92,6,3,SAFE
-56,6,3,SAFE
-62,11,0,VULNERABLE
-64,11,3,UNSAFE
-67,1,3,SAFE
-69,1,0,VULNERABLE
-78,11,0,VULNERABLE
-79,11,3,SAFE
-84,11,3,SAFE
-87,1,0,VULNERABLE
-87,6,3,SAFE
-87,8,0,SAFE
-89,6,0,VULNERABLE
-89,6,3,SAFE
-89,6,0,VULNERABLE
-89,11,0,VULNERABLE
-90,11,0,SAFE
-90,11,0,VULNERABLE
-91,1,3,SAFE
-91,6,0,SAFE
-92,6,3,SAFE
-92,11,0,VULNERABLE
-92,11,3,SAFE
-93,6,3,SAFE
-94,11,0,SAFE
-47,6,3,SAFE
-76,11,0,VULNERABLE
-77,11,3,UNSAFE
